1827,Big One, The (1997),Comedy|Documentary
1820,Proposition, The (1998),Drama
2312,Children of a Lesser God (1986),Drama
1313,Mad Dog Time (1996),Crime
2698,Zone 39 (1997),Sci-Fi
2287,Them! (1954),Sci-Fi|Thriller|War
1342,Candyman (1992),Horror
2549,Wing Commander (1999),Action|Sci-Fi
3330,Splendor in the Grass (1961),Drama
600,Love and a .45 (1994),Thriller
153,Batman Forever (1995),Action|Adventure|Comedy|Crime
1518,Breakdown (1997),Action|Thriller
2702,Summer of Sam (1999),Drama
2439,Affliction (1997),Drama
1322,Amityville 1992: It's About Time (1992),Horror
3177,Next Friday (1999),Comedy
2611,Winslow Boy, The (1998),Drama
1954,Rocky (1976),Action|Drama
494,Executive Decision (1996),Action|Thriller
3085,Living Dead Girl, The (La Morte Vivante) (1982),Horror
2086,One Magic Christmas (1985),Drama|Fantasy
1474,Jungle2Jungle (a.k.a. Jungle 2 Jungle) (1997),Children's|Comedy
121,Boys of St. Vincent, The (1993),Drama
3631,It's in the Water (1998),Comedy
1153,Raw Deal (1948),Film-Noir
3649,American Gigolo (1980),Drama
2122,Children of the Corn (1984),Horror|Thriller
1410,Evening Star, The (1996),Comedy|Drama
1470,Rhyme & Reason (1997),Documentary
469,House of the Spirits, The (1993),Drama|Romance
3174,Man on the Moon (1999),Comedy|Drama
2370,Emerald Forest, The (1985),Action|Adventure|Drama
3469,Inherit the Wind (1960),Drama
3047,Experience Preferred... But Not Essential (1982),Drama
308,Three Colors: White (1994),Drama
2126,Snake Eyes (1998),Action|Crime|Mystery|Thriller
3930,Creature From the Black Lagoon, The (1954),Horror
709,Oliver & Company (1988),Animation|Children's
3804,H.O.T.S. (1979),Comedy
87,Dunston Checks In (1996),Children's|Comedy
3049,How I Won the War (1967),Comedy|War
2632,Saragossa Manuscript, The (Rekopis znaleziony w Saragossie) (1965),Drama
207,Walk in the Clouds, A (1995),Drama|Romance
3419,Something for Everyone (1970),Comedy|Crime
204,Under Siege 2: Dark Territory (1995),Action
3775,Make Mine Music (1946),Animation|Children's|Musical
3807,Sinbad and the Eye of the Tiger (1977),Action|Adventure
638,Jack and Sarah (1995),Romance
3095,Grapes of Wrath, The (1940),Drama
185,Net, The (1995),Sci-Fi|Thriller
1777,Wedding Singer, The (1998),Comedy|Romance
2000,Lethal Weapon (1987),Action|Comedy|Crime|Drama
1352,Albino Alligator (1996),Crime|Thriller
193,Showgirls (1995),Drama
2651,Frankenstein Meets the Wolf Man (1943),Horror
1958,Terms of Endearment (1983),Comedy|Drama
2005,Goonies, The (1985),Adventure|Children's|Fantasy
1572,Contempt (Le Mépris) (1963),Drama
3864,Godzilla 2000 (Gojira ni-sen mireniamu) (1999),Action|Adventure|Sci-Fi
2486,24-hour Woman (1998),Drama
3781,Shaft in Africa (1973),Action|Crime
3192,Terrorist, The (Malli) (1998),Drama
1214,Alien (1979),Action|Horror|Sci-Fi|Thriller
880,Island of Dr. Moreau, The (1996),Sci-Fi|Thriller
1980,Friday the 13th Part VII: The New Blood (1988),Horror
2919,Year of Living Dangerously (1982),Drama|Romance
2757,Frances (1982),Drama
2889,Mystery, Alaska (1999),Comedy
126,NeverEnding Story III, The (1994),Adventure|Children's|Fantasy
647,Courage Under Fire (1996),Drama|War
3196,Stalag 17 (1953),Drama|War
2420,Karate Kid, The (1984),Drama
1558,Sudden Manhattan (1996),Comedy
3166,Brenda Starr (1989),Adventure
3078,Liberty Heights (1999),Drama
2248,Say Anything... (1989),Comedy|Drama|Romance
1785,King of New York (1990),Action|Crime
528,Scout, The (1994),Drama
7,Sabrina (1995),Comedy|Romance
3634,Seven Days in May (1964),Thriller
3861,Replacements, The (2000),Comedy
973,Meet John Doe (1941),Drama
2817,Aces: Iron Eagle III (1992),Action|War
1188,Strictly Ballroom (1992),Comedy|Romance
2790,Final Conflict, The (a.k.a. Omen III: The Final Conflict) (1981),Horror
2711,My Life So Far (1999),Drama
3787,Shower (Xizhao) (1999),Comedy
3092,Chushingura (1962),Drama
866,Bound (1996),Crime|Drama|Romance|Thriller
1932,Great Ziegfeld, The (1936),Musical
404,Brother Minister: The Assassination of Malcolm X (1994),Documentary
1529,Nowhere (1997),Drama
2689,Get Bruce (1999),Documentary
2024,Rapture, The (1991),Drama|Mystery
3637,Vagabond (Sans toit ni loi) (1985),Drama
242,Farinelli: il castrato (1994),Drama|Musical
1011,Herbie Rides Again (1974),Adventure|Children's|Comedy
3540,Passion of Mind (1999),Romance|Thriller
2402,Rambo: First Blood Part II (1985),Action|War
1154,T-Men (1947),Film-Noir
2905,Sanjuro (1962),Action|Adventure
2981,Brother, Can You Spare a Dime? (1975),Documentary
984,Pompatus of Love, The (1996),Comedy|Drama
3431,Death Wish II (1982),Action|Drama
1945,On the Waterfront (1954),Crime|Drama
3089,Bicycle Thief, The (Ladri di biciclette) (1948),Drama
2517,Christine (1983),Horror
3435,Double Indemnity (1944),Crime|Film-Noir
1113,Associate, The (1996),Comedy
1199,Brazil (1985),Sci-Fi
1124,On Golden Pond (1981),Drama
1448,Fire on the Mountain (1996),Documentary
1872,Go Now (1995),Drama
336,Walking Dead, The (1995),Drama|War
604,Criminals (1996),Documentary
1227,Once Upon a Time in America (1984),Crime|Drama|Thriller
2124,Addams Family, The (1991),Comedy
568,Bhaji on the Beach (1993),Comedy|Drama
1457,Fools Rush In (1997),Comedy|Romance
2358,Savior (1998),Drama
3276,Gun Shy (2000),Comedy
1317,I'm Not Rappaport (1996),Comedy
2674,Loss of Sexual Innocence, The (1999),Drama
841,Eyes Without a Face (1959),Horror
1003,Extreme Measures (1996),Drama|Thriller
1985,Halloween 4: The Return of Michael Myers (1988),Horror
2098,Son of Flubber (1963),Children's|Comedy
2154,How Stella Got Her Groove Back (1998),Drama|Romance
1306,Until the End of the World (Bis ans Ende der Welt) (1991),Drama|Sci-Fi
951,His Girl Friday (1940),Comedy
3550,Hunger, The (1983),Horror
99,Heidi Fleiss: Hollywood Madam (1995),Documentary
148,Awfully Big Adventure, An (1995),Drama
1477,Love Jones (1997),Romance
3588,King of Marvin Gardens, The (1972),Crime|Drama
390,Faster Pussycat! Kill! Kill! (1965),Action|Comedy|Drama
1203,12 Angry Men (1957),Drama
2394,Prince of Egypt, The (1998),Animation|Musical
3558,Law, The (Le Legge) (1958),Drama
3275,Boondock Saints, The (1999),Action|Comedy
1904,Henry Fool (1997),Comedy|Drama
2744,Otello (1986),Drama
597,Pretty Woman (1990),Comedy|Romance
3068,Verdict, The (1982),Drama
3272,Bad Lieutenant (1992),Crime|Drama
1324,Amityville: Dollhouse (1996),Horror
1641,Full Monty, The (1997),Comedy
